link,views,unique_sessions,unique_users,total_time_sec,avg_time_sec,median_time_sec,p90_time_sec
https://travel.com.vn/chuong-trinh/sieu-sale-phu-quoc-kham-pha-nam-dao-bai-sao-thi-tran-hoang-hon-cho-dem-vui-phet-kiss-bridge-mot-ngay-tu-do-pid-5462?tourCode=NDSGN870-007-190226VU-H,2,1,1,2726.687,1363.3435,1363.3435,1458.0535
https://travel.com.vn/chuong-trinh/singapore-malaysia-1-dem-tai-singapore-pid-13110,2,2,2,669.6759999999999,334.83799999999997,334.83799999999997,598.8492
https://travel.com.vn/chuong-trinh/thai-lan-bangkok-pattaya-bien-jomtien-khu-du-lich-suan-thai-pattaya-cho-noi-bon-mien-cafe-blue-dragon-chua-wat-paknam-phasicharoen-tang-ve-xem-colosseum-show-va-buffet-baiyoke-sky-pid-13884,2,2,2,1682.2069999999999,841.1034999999999,841.1034999999999,1408.4470999999999
https://travel.com.vn/du-lich-con-minh,2,2,2,1880.279,940.1395,940.1395,1254.3191000000002
https://travel.com.vn/chuong-trinh/phu-quoc-chinh-phuc-de-nhat-tu-dao-trai-nghiem-di-bo-duoi-day-bien-thi-tran-hoang-hon-kiss-bridge-bai-sao-grand-world-pid-13060,2,2,2,389.443,194.7215,194.7215,308.0739
https://travel.com.vn/chuong-trinh/phu-quoc-thien-duong-giai-tri-vinwonders-vinpearl-safari-hon-thom-nature-park-cap-treo-vuot-bien-cong-vien-nuoc-aquatopia-pid-13009,2,2,2,1608.265,804.1325,804.1325,1203.7721000000001
https://travel.com.vn/chuong-trinh/phu-yen-nha-trang-thap-nghinh-phong-ganh-da-dia-doc-let-thap-ba-ponagar-tang-trai-nghiem-jjim-jil-bang-chuan-han-quoc-pid-11802,2,2,2,516.335,258.1675,258.1675,402.6871
https://travel.com.vn/chuong-trinh/thai-lan-bangkok-pattaya-lau-dai-ty-phu-baan-sukhawadee-bien-jomtien-chua-phat-lon-tang-thuong-thuc-mon-suon-cay-thai-lan-mot-ngay-tu-do-tai-bangkok-gia-da-giam-1000000-vnd-khach-pid-13745,2,2,2,1403.9679999999998,701.9839999999999,701.9839999999999,1151.1696
https://travel.com.vn/du-lich-thai-lan.aspx?departureFrom=1&utm_source=DIGI_Google&utm_medium=cpa&utm_campaign=HanQuoc_HCM_AllProduct&gad_source=1&gad_campaignid=20587762529&gbraid=0AAAAAoO64iKilxnxODlOmi7CPcUlURhQA&gclid=CjwKCAiAvaLLBhBFEiwAYCNTf4NR3G02kaxD2jDaNeT9rT5D7tmJFea2vltYEhhsUKeumORUYhHXGBoCxJ0QAvD_BwE,2,1,1,658.249,329.1245,329.1245,587.5465
https://travel.com.vn/chuong-trinh/sapa-fansipan-ban-cat-cat-ninh-binh-vuon-chim-thung-nham-tuyet-tinh-coc-pid-6777,2,2,2,1561.287,780.6435,780.6435,1197.8663000000001
